datetime,date,lat,lon,geomag_lat,colours_naked_eye,special_forms,primary_colour,n_colours,kp_max,kp_mean
2024-05-11,2024-05-11,-38.3,143.6,-49.2,"red,green,blue,purple/pink/magenta",,red,4,9.0,8.375
2024-05-11,2024-05-11,-32.0,115.9,-43.5,"red,purple/pink/magenta",SAR arc,red,2,9.0,8.375
2024-05-10,2024-05-10,-43.0,147.1,-53.8,"red,green,purple/pink/magenta","Dunes,SAR arc",red,3,8.667,4.791875
2024-05-11,2024-05-11,-28.1,153.2,-37.5,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-11,2024-05-11,-43.2,147.0,-54.1,"red,green",STEVE,red,2,9.0,8.375
2024-05-10,2024-05-10,-41.2,146.8,-52.0,"red,green,purple/pink/magenta",Dunes,red,3,8.667,4.791875
2024-05-11,2024-05-11,-37.8,145.1,-48.6,"red,green,purple/pink/magenta","Dunes,SAR arc",red,3,9.0,8.375
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"red,green,purple/pink/magenta",STEVE,red,3,9.0,8.375
2024-05-11,2024-05-11,-43.0,147.5,-53.8,"red,green",,red,2,9.0,8.375
2024-05-11,2024-05-11,-28.1,152.5,-37.5,green,,green,1,9.0,8.375
2024-05-10,2024-05-10,-41.4,147.2,-52.2,"red,green,purple/pink/magenta",,red,3,8.667,4.791875
2024-05-11,2024-05-11,-41.7,145.9,-52.6,"red,green,purple/pink/magenta",STEVE,red,3,9.0,8.375
2024-05-11,2024-05-11,-43.0,147.3,-53.8,"red,green,purple/pink/magenta",Dunes,red,3,9.0,8.375
2024-05-11,2024-05-11,-41.5,147.2,-52.2,"red,green,purple/pink/magenta",Dunes,red,3,9.0,8.375
2024-05-11,2024-05-11,-38.6,145.5,-49.3,"red,green,purple/pink/magenta","Dunes,STEVE",red,3,9.0,8.375
2024-05-11,2024-05-11,-33.2,148.5,-43.3,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"red,green,blue,purple/pink/magenta",,red,4,9.0,8.375
2024-05-11,2024-05-11,-37.2,145.0,-47.9,green,,green,1,9.0,8.375
2024-05-11,2024-05-11,-43.1,147.2,-54.0,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-34.6,146.4,-44.9,red,,red,1,9.0,8.375
2024-05-11,2024-05-11,-31.1,150.9,-40.8,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-34.8,138.5,-45.9,"red,purple/pink/magenta",,red,2,9.0,8.375
2024-05-11,2024-05-11,-33.4,138.2,-44.3,"red,purple/pink/magenta",,red,2,9.0,8.375
2024-05-10,2024-05-10,-32.0,115.8,-43.6,"red,purple/pink/magenta",,red,2,8.667,4.791875
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,purple/pink/magenta",Dunes,red,3,9.0,8.375
2024-05-11,2024-05-11,-41.0,145.9,-51.9,"red,green,blue,purple/pink/magenta",Dunes,red,4,9.0,8.375
2024-05-11,2024-05-11,-42.4,147.5,-53.2,"green,purple/pink/magenta",Dunes,green,2,9.0,8.375
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-43.2,147.1,-54.0,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-36.8,144.3,-47.5,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"red,green,blue,purple/pink/magenta",Dunes,red,4,9.0,8.375
2024-05-10,2024-05-10,-42.1,148.1,-52.8,"red,green,purple/pink/magenta","Dunes,STEVE",red,3,8.667,4.791875
2024-05-11,2024-05-11,-37.7,145.2,-48.4,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-33.9,151.2,-43.8,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-10,2024-05-10,-43.0,147.4,-53.8,"green,purple/pink/magenta",,green,2,8.667,4.791875
2024-05-12,2024-05-12,-37.8,144.9,-48.6,"red,purple/pink/magenta",,red,2,7.0,4.58325
