lat,lon,geomag_lat,colour_count,primary_colour,has_special_form
-38.3,143.6,-49.2,4,red,False
-32.0,115.9,-43.5,2,red,True
-43.0,147.1,-53.8,3,red,True
-28.1,153.2,-37.5,1,purple/pink/magenta,False
-43.2,147.0,-54.1,2,red,True
-41.2,146.8,-52.0,3,red,True
-37.8,145.1,-48.6,3,red,True
-43.4,147.2,-54.3,3,red,True
-43.0,147.5,-53.8,2,red,False
-28.1,152.5,-37.5,1,green,False
-41.4,147.2,-52.2,3,red,False
-41.7,145.9,-52.6,3,red,True
-43.0,147.3,-53.8,3,red,True
-41.5,147.2,-52.2,3,red,True
-38.6,145.5,-49.3,3,red,True
-33.2,148.5,-43.3,1,purple/pink/magenta,False
-43.4,147.2,-54.3,4,red,False
-37.2,145.0,-47.9,1,green,False
-43.1,147.2,-54.0,2,green,False
-34.6,146.4,-44.9,1,red,False
-31.1,150.9,-40.8,1,purple/pink/magenta,False
-42.9,147.3,-53.7,3,red,False
-34.8,138.5,-45.9,2,red,False
-33.4,138.2,-44.3,2,red,False
-32.0,115.8,-43.6,2,red,False
-42.9,147.3,-53.7,3,red,True
-41.0,145.9,-51.9,4,red,True
-42.4,147.5,-53.2,2,green,True
-43.4,147.2,-54.3,2,green,False
-43.2,147.1,-54.0,2,green,False
-36.8,144.3,-47.5,3,red,False
-43.4,147.2,-54.3,4,red,True
-42.1,148.1,-52.8,3,red,True
-37.7,145.2,-48.4,2,green,False
-33.9,151.2,-43.8,3,red,False
-43.0,147.4,-53.8,2,green,False
-37.8,144.9,-48.6,2,red,False
-42.1,148.3,-52.8,3,red,True
-37.8,144.9,-48.6,2,red,False
-43.4,147.2,-54.3,3,red,False
-43.0,147.3,-53.8,3,red,False
-41.6,146.4,-52.4,4,red,True
-37.4,144.0,-48.2,2,green,False
-42.8,147.3,-53.7,1,purple/pink/magenta,False
-26.5,153.0,-35.8,1,red,False
-34.9,138.5,-46.0,1,purple/pink/magenta,False
-43.4,147.2,-54.3,1,purple/pink/magenta,False
-41.4,147.2,-52.2,2,green,False
-35.2,138.5,-46.4,2,red,False
-33.3,115.7,-45.1,2,red,False
-41.2,146.4,-52.0,2,green,False
-38.3,144.5,-49.1,2,red,True
-34.4,137.9,-45.5,3,red,False
-35.1,138.6,-46.2,3,red,False
-42.8,146.0,-53.8,3,red,True
-43.4,147.2,-54.3,3,red,False
-34.2,142.1,-45.0,1,purple/pink/magenta,False
-41.4,147.1,-52.2,3,red,False
-41.4,147.1,-52.2,2,green,False
-43.0,147.1,-53.9,3,red,True
-43.4,147.2,-54.3,2,green,False
-36.7,141.6,-47.7,3,red,False
-43.2,147.8,-54.0,4,red,True
-43.0,147.4,-53.9,2,green,False
-42.9,147.3,-53.7,4,red,False
-42.9,147.3,-53.7,3,red,False
-42.8,147.3,-53.7,2,green,False
-38.2,145.3,-49.0,3,red,False
-33.5,151.4,-43.3,1,green,False
-41.5,146.7,-52.4,4,red,True
-42.9,147.3,-53.7,3,red,True
-42.9,147.3,-53.7,4,red,True
-43.0,147.3,-53.9,3,red,True
-37.7,145.1,-48.4,3,red,False
-35.0,138.9,-46.1,1,purple/pink/magenta,False
-43.1,147.8,-53.9,2,red,True
-33.8,150.7,-43.8,1,purple/pink/magenta,False
-38.0,144.1,-48.8,2,red,False
-37.5,143.6,-48.4,2,green,True
-43.2,147.1,-54.1,3,red,False
-16.8,145.4,-26.5,3,red,False
-20.7,116.8,-31.0,1,purple/pink/magenta,False
-35.3,136.9,-46.5,3,red,True
-41.2,144.7,-52.2,3,red,True
-32.0,116.0,-43.6,2,red,False
-34.5,145.7,-45.0,2,red,False
