datetime,year,month,lat,lon,geomag_lat,solar_zenith_angle,colours_naked_eye,colours_camera,special_forms
2024-05-11,2024,5,-38.3,143.6,-49.2,120.1,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-32.0,115.9,-43.5,115.5,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",SAR arc
2024-05-10,2024,5,-43.0,147.1,-53.8,119.9,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,SAR arc"
2024-05-11,2024,5,-28.1,153.2,-37.5,160.4,purple/pink/magenta,"red,purple/pink/magenta",
2024-05-11,2024,5,-43.2,147.0,-54.1,106.1,"red,green",,STEVE
2024-05-10,2024,5,-41.2,146.8,-52.0,123.9,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-37.8,145.1,-48.6,113.4,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,SAR arc"
2024-05-11,2024,5,-43.4,147.2,-54.3,109.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",STEVE
2024-05-11,2024,5,-43.0,147.5,-53.8,122.8,"red,green","red,green",
2024-05-11,2024,5,-28.1,152.5,-37.5,153.7,green,"red,green",
2024-05-10,2024,5,-41.4,147.2,-52.2,119.9,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-41.7,145.9,-52.6,102.9,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-11,2024,5,-43.0,147.3,-53.8,111.7,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",Dunes
2024-05-11,2024,5,-41.5,147.2,-52.2,106.0,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",Dunes
2024-05-11,2024,5,-38.6,145.5,-49.3,98.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta","Dunes,STEVE"
2024-05-11,2024,5,-33.2,148.5,-43.3,124.1,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-11,2024,5,-43.4,147.2,-54.3,114.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-37.2,145.0,-47.9,139.0,green,,
2024-05-11,2024,5,-43.1,147.2,-54.0,107.7,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-34.6,146.4,-44.9,122.3,red,"red,green",
2024-05-11,2024,5,-31.1,150.9,-40.8,134.7,purple/pink/magenta,"blue,purple/pink/magenta",
2024-05-11,2024,5,-42.9,147.3,-53.7,100.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-34.8,138.5,-45.9,159.3,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-33.4,138.2,-44.3,109.3,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10,2024,5,-32.0,115.8,-43.6,104.1,"red,purple/pink/magenta","red,purple/pink/magenta",
2024-05-11,2024,5,-42.9,147.3,-53.7,111.7,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-41.0,145.9,-51.9,99.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-42.4,147.5,-53.2,101.8,"green,purple/pink/magenta","red,green,purple/pink/magenta",Dunes
2024-05-11,2024,5,-43.4,147.2,-54.3,94.1,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-43.2,147.1,-54.0,133.2,"green,purple/pink/magenta",green,
2024-05-11,2024,5,-36.8,144.3,-47.5,119.8,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-43.4,147.2,-54.3,101.0,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-10,2024,5,-42.1,148.1,-52.8,124.7,"red,green,purple/pink/magenta","red,green,purple/pink/magenta","Dunes,STEVE"
2024-05-11,2024,5,-37.7,145.2,-48.4,138.9,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-33.9,151.2,-43.8,126.4,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10,2024,5,-43.0,147.4,-53.8,152.5,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-12,2024,5,-37.8,144.9,-48.6,142.6,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-42.1,148.3,-52.8,109.7,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-37.8,144.9,-48.6,127.1,"red,green","red,green",
2024-05-11,2024,5,-43.4,147.2,-54.3,133.3,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-43.0,147.3,-53.8,128.1,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-41.6,146.4,-52.4,110.0,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-37.4,144.0,-48.2,138.1,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-42.8,147.3,-53.7,106.8,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-11,2024,5,-26.5,153.0,-35.8,127.8,red,red,
2024-05-11,2024,5,-34.9,138.5,-46.0,132.3,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-11,2024,5,-43.4,147.2,-54.3,122.6,purple/pink/magenta,"green,blue,purple/pink/magenta",
2024-05-11,2024,5,-41.4,147.2,-52.2,122.7,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11,2024,5,-35.2,138.5,-46.4,111.8,"red,purple/pink/magenta","green,purple/pink/magenta",
