datetime,year,lat,lon,altitude_km,velocity_kms,radiated_energy_J,impact_energy_kt
5/10/2026 16:57,2026,-45.6,-109.8,32.7,22.9,60000000000.0,0.19
5/7/2026 5:52,2026,32.5,-36.8,36.0,24.8,64000000000.0,0.2
4/29/2026 14:00,2026,-81.0,133.9,28.7,17.8,48000000000.0,0.16
4/8/2026 1:58,2026,13.4,-170.2,62.0,17.8,29000000000.0,0.1
4/1/2026 23:59,2026,57.9,-158.6,37.0,37.3,22000000000.0,0.079
3/23/2026 19:23,2026,54.6,-144.1,35.0,11.5,51000000000.0,0.17
3/20/2026 10:45,2026,-52.9,-143.7,27.0,,28000000000.0,0.098
3/17/2026 12:56,2026,41.2,-82.0,45.0,14.9,126000000000.0,0.37
2/10/2026 14:26,2026,-64.0,-14.0,44.0,,21000000000.0,0.076
1/31/2026 18:07,2026,4.1,-173.4,32.0,,58000000000.0,0.19
1/30/2026 10:25,2026,-45.0,174.5,89.0,71.1,34000000000.0,0.12
12/16/2025 20:58,2025,-24.1,-92.4,25.0,19.0,96000000000.0,0.29
11/15/2025 0:48,2025,-62.2,-94.7,30.0,16.0,105000000000.0,0.32
11/11/2025 17:39,2025,27.3,-79.8,42.0,18.7,93000000000.0,0.28
10/20/2025 13:31,2025,5.7,-135.2,41.0,26.7,20000000000.0,0.073
9/13/2025 22:24,2025,-38.1,-64.8,25.1,17.8,167000000000.0,0.48
9/10/2025 11:00,2025,-14.8,-142.4,37.0,,28000000000.0,0.098
9/9/2025 17:49,2025,-2.3,-39.5,24.0,20.7,153000000000.0,0.44
9/8/2025 10:09,2025,26.4,42.2,28.4,,36000000000.0,0.12
8/19/2025 14:08,2025,30.9,131.8,27.5,19.6,658000000000.0,1.6
8/12/2025 4:09,2025,-58.5,-22.3,60.0,,44000000000.0,0.15
7/11/2025 1:48,2025,-6.6,-167.5,28.0,13.6,32000000000.0,0.11
6/26/2025 16:24,2025,33.4,-84.1,32.6,,170000000000.0,0.48
6/26/2025 0:37,2025,12.1,-103.6,30.0,19.3,132000000000.0,0.39
6/21/2025 20:55,2025,-61.3,157.9,56.3,,30000000000.0,0.1
5/31/2025 23:06,2025,21.1,-98.8,47.3,17.8,386000000000.0,1.0
4/28/2025 15:01,2025,-45.1,67.3,31.4,,34000000000.0,0.12
4/21/2025 9:27,2025,-29.1,151.6,41.0,,23000000000.0,0.082
4/8/2025 14:16,2025,-32.2,10.4,44.9,22.6,21000000000.0,0.076
3/29/2025 8:12,2025,-49.3,14.3,21.6,12.3,59000000000.0,0.19
3/27/2025 16:05,2025,14.3,-111.5,38.1,21.3,1050000000000.0,2.4
3/24/2025 5:51,2025,-70.4,114.2,21.5,28.2,49000000000.0,0.16
3/21/2025 5:06,2025,-22.8,123.5,54.2,,39000000000.0,0.13
3/18/2025 17:48,2025,-1.5,-30.4,27.0,20.1,110000000000.0,0.33
3/13/2025 9:46,2025,-7.1,75.9,38.0,28.1,750000000000.0,1.8
2/22/2025 10:26,2025,28.1,120.0,46.7,15.0,55000000000.0,0.18
2/22/2025 0:16,2025,-6.9,12.1,35.0,,35000000000.0,0.12
2/12/2025 4:33,2025,73.4,49.3,42.0,21.9,40000000000.0,0.13
2/7/2025 17:25,2025,14.4,-58.0,50.8,20.1,24000000000.0,0.086
2/6/2025 17:52,2025,-1.7,130.0,36.2,17.4,20000000000.0,0.073
