glat,glon,lat,lon,mean_mag,n_obs,nearest_city,dist_km
-43.5,146.0,-43.413229005568994,146.07283786623043,6.0,2,Hobart,118.0
-43.5,146.5,-43.485359874415536,146.60185298970134,6.0,3,Hobart,89.5
-43.0,146.0,-42.7864998,146.0594368,6.0,1,Hobart,104.1
-43.0,146.5,-43.06496488086193,146.36328823346057,6.0,3,Hobart,81.3
-43.0,147.0,-42.93258907499999,147.03493897500002,5.0,4,Hobart,24.7
-43.0,147.5,-42.859766666666665,147.3083333333333,4.0,3,Hobart,2.9
-42.5,147.5,-42.4407,147.471,6.0,1,Hobart,50.2
-42.0,147.0,-41.7945,146.961,5.0,1,Hobart,124.5
-42.0,147.5,-42.03236274430944,147.4921395883042,5.67,3,Hobart,95.2
-42.0,148.5,-42.13031207317187,148.31199645996094,6.0,1,Hobart,115.9
-41.5,146.5,-41.5999539,146.4069499,6.0,1,Hobart,161.3
-41.5,147.0,-41.341842500096334,147.04633275500123,4.33,3,Hobart,172.6
-41.5,148.5,-41.2524,148.307,4.0,1,Hobart,198.1
-41.0,145.0,-40.8371,145.131,3.0,1,Hobart,291.1
-41.0,145.5,-41.0092,145.702,6.0,2,Hobart,247.8
-41.0,146.0,-41.055244022350664,145.88554873307712,2.67,6,Hobart,235.4
-41.0,147.0,-41.1144,146.84,3.0,1,Hobart,200.5
-41.0,148.5,-41.2097467,148.2792859,6.0,1,Hobart,201.6
-38.5,142.5,-38.3878,142.485,4.0,1,Melbourne,225.9
-38.5,144.0,-38.43762824957822,144.11895080556047,4.8,5,Melbourne,101.4
-38.5,144.5,-38.32926,144.35,3.2,5,Melbourne,78.6
-38.5,145.0,-38.3698,145.00133333333335,2.67,3,Melbourne,62.4
-38.5,145.5,-38.536100000000005,145.6985,5.0,2,Melbourne,103.4
-38.5,146.0,-38.596680000000006,145.863,5.2,5,Melbourne,117.8
-38.5,146.5,-38.35303398622258,146.42965581895126,6.0,1,Melbourne,142.1
-38.5,147.0,-38.3959,147.11599999999999,4.5,2,Melbourne,199.6
-38.0,140.5,-37.8231,140.682,6.0,1,Adelaide,371.8
-38.0,141.0,-37.838025,140.781,5.25,4,Melbourne,367.0
-38.0,142.0,-37.83206666666667,142.10433333333333,6.67,3,Melbourne,250.8
-38.0,144.0,-38.2473,144.173,5.0,1,Melbourne,84.4
-38.0,144.5,-38.10652142857143,144.37864285714286,2.82,28,Melbourne,60.7
-38.0,145.0,-37.879600060806666,145.05301640061427,3.26,66,Melbourne,11.3
-38.0,145.5,-37.97689470882353,145.37180032941177,4.06,34,Melbourne,40.6
-38.0,146.0,-38.23251820363636,145.95150938,5.58,55,Melbourne,98.7
-38.0,146.5,-38.1869,146.253,3.0,1,Melbourne,120.8
-38.0,147.0,-37.98632857142858,146.8887142857143,5.0,7,Melbourne,170.4
