year,month,max_kp,month_name
1990,1,5.0,Jan
1990,2,6.667,Feb
1990,3,8.0,Mar
1990,4,8.0,Apr
1990,5,7.333,May
1990,6,8.333,Jun
1990,7,7.667,Jul
1990,8,7.0,Aug
1990,9,6.667,Sep
1990,10,6.0,Oct
1990,11,6.667,Nov
1990,12,4.333,Dec
1991,1,5.0,Jan
1991,2,5.667,Feb
1991,3,8.667,Mar
1991,4,6.667,Apr
1991,5,6.667,May
1991,6,8.667,Jun
1991,7,8.667,Jul
1991,8,7.667,Aug
1991,9,7.0,Sep
1991,10,8.333,Oct
1991,11,8.667,Nov
1991,12,6.333,Dec
1992,1,5.333,Jan
1992,2,8.0,Feb
1992,3,5.333,Mar
1992,4,6.0,Apr
1992,5,8.667,May
1992,6,6.667,Jun
1992,7,5.667,Jul
1992,8,8.0,Aug
1992,9,7.333,Sep
1992,10,6.333,Oct
1992,11,6.333,Nov
1992,12,6.333,Dec
1993,1,6.0,Jan
1993,2,6.667,Feb
1993,3,7.333,Mar
1993,4,7.667,Apr
1993,5,6.333,May
1993,6,7.0,Jun
1993,7,6.0,Jul
1993,8,7.0,Aug
1993,9,7.667,Sep
1993,10,6.667,Oct
1993,11,6.667,Nov
1993,12,6.667,Dec
1994,1,5.333,Jan
1994,2,7.667,Feb
1994,3,7.0,Mar
1994,4,8.333,Apr
1994,5,7.0,May
1994,6,5.667,Jun
1994,7,6.0,Jul
1994,8,5.0,Aug
1994,9,6.0,Sep
1994,10,7.0,Oct
1994,11,6.333,Nov
1994,12,5.333,Dec
1995,1,6.333,Jan
1995,2,5.667,Feb
1995,3,6.333,Mar
1995,4,8.0,Apr
1995,5,6.333,May
1995,6,5.667,Jun
1995,7,6.0,Jul
1995,8,5.333,Aug
1995,9,7.0,Sep
1995,10,6.667,Oct
1995,11,6.333,Nov
1995,12,5.333,Dec
1996,1,5.333,Jan
1996,2,5.333,Feb
1996,3,5.667,Mar
1996,4,7.0,Apr
1996,5,3.667,May
1996,6,4.333,Jun
1996,7,4.333,Jul
1996,8,5.667,Aug
1996,9,6.333,Sep
1996,10,7.333,Oct
1996,11,5.333,Nov
1996,12,5.0,Dec
1997,1,6.0,Jan
1997,2,7.0,Feb
1997,3,5.667,Mar
1997,4,6.667,Apr
1997,5,6.667,May
1997,6,5.667,Jun
1997,7,4.333,Jul
1997,8,5.0,Aug
1997,9,6.333,Sep
1997,10,7.0,Oct
1997,11,7.333,Nov
1997,12,4.667,Dec
1998,1,6.333,Jan
1998,2,6.667,Feb
1998,3,7.333,Mar
1998,4,5.667,Apr
1998,5,8.667,May
1998,6,6.333,Jun
1998,7,6.0,Jul
1998,8,8.0,Aug
1998,9,8.333,Sep
1998,10,6.667,Oct
1998,11,7.667,Nov
1998,12,5.333,Dec
1999,1,7.0,Jan
1999,2,6.667,Feb
1999,3,6.333,Mar
1999,4,7.333,Apr
1999,5,5.0,May
1999,6,6.0,Jun
1999,7,7.667,Jul
1999,8,5.667,Aug
1999,9,8.0,Sep
1999,10,8.0,Oct
1999,11,6.333,Nov
1999,12,5.667,Dec
2000,1,6.333,Jan
2000,2,6.667,Feb
2000,3,4.667,Mar
2000,4,8.667,Apr
2000,5,8.0,May
2000,6,7.0,Jun
2000,7,9.0,Jul
2000,8,7.667,Aug
2000,9,8.333,Sep
2000,10,7.667,Oct
2000,11,7.0,Nov
2000,12,5.667,Dec
2001,1,5.0,Jan
2001,2,4.667,Feb
2001,3,8.667,Mar
2001,4,8.333,Apr
2001,5,5.333,May
2001,6,5.667,Jun
2001,7,5.0,Jul
2001,8,7.0,Aug
2001,9,7.333,Sep
2001,10,7.667,Oct
2001,11,8.667,Nov
2001,12,4.667,Dec
2002,1,5.0,Jan
2002,2,6.0,Feb
2002,3,6.0,Mar
2002,4,7.333,Apr
2002,5,8.333,May
2002,6,4.0,Jun
2002,7,5.0,Jul
2002,8,6.333,Aug
2002,9,7.333,Sep
2002,10,7.333,Oct
2002,11,6.667,Nov
2002,12,6.0,Dec
2003,1,5.667,Jan
2003,2,5.667,Feb
2003,3,6.333,Mar
2003,4,6.0,Apr
2003,5,8.333,May
2003,6,6.667,Jun
2003,7,6.667,Jul
2003,8,7.333,Aug
2003,9,7.0,Sep
2003,10,9.0,Oct
2003,11,8.667,Nov
2003,12,5.667,Dec
2004,1,7.0,Jan
2004,2,6.333,Feb
2004,3,6.333,Mar
2004,4,6.333,Apr
2004,5,4.667,May
2004,6,4.333,Jun
2004,7,8.667,Jul
2004,8,7.0,Aug
2004,9,5.333,Sep
2004,10,5.0,Oct
2004,11,8.667,Nov
2004,12,5.333,Dec
2005,1,8.0,Jan
2005,2,6.333,Feb
2005,3,5.667,Mar
2005,4,7.0,Apr
2005,5,8.333,May
2005,6,7.333,Jun
2005,7,6.333,Jul
2005,8,8.667,Aug
2005,9,7.667,Sep
2005,10,5.0,Oct
2005,11,4.667,Nov
2005,12,5.333,Dec
2006,1,5.333,Jan
2006,2,4.667,Feb
2006,3,6.333,Mar
2006,4,7.0,Apr
2006,5,5.0,May
2006,6,5.333,Jun
2006,7,6.0,Jul
2006,8,6.0,Aug
2006,9,5.667,Sep
2006,10,5.333,Oct
2006,11,6.0,Nov
2006,12,8.333,Dec
2007,1,5.333,Jan
2007,2,5.667,Feb
2007,3,5.0,Mar
2007,4,5.0,Apr
2007,5,5.667,May
2007,6,4.333,Jun
2007,7,5.333,Jul
2007,8,5.667,Aug
2007,9,5.0,Sep
2007,10,4.667,Oct
2007,11,5.333,Nov
2007,12,4.333,Dec
2008,1,4.333,Jan
2008,2,5.333,Feb
2008,3,5.667,Mar
2008,4,5.333,Apr
2008,5,4.667,May
2008,6,5.667,Jun
2008,7,4.333,Jul
2008,8,5.333,Aug
2008,9,6.0,Sep
2008,10,6.333,Oct
2008,11,4.333,Nov
2008,12,4.333,Dec
2009,1,4.0,Jan
2009,2,4.333,Feb
2009,3,4.667,Mar
2009,4,3.333,Apr
2009,5,4.0,May
2009,6,5.0,Jun
2009,7,5.667,Jul
2009,8,5.667,Aug
2009,9,3.333,Sep
2009,10,4.0,Oct
2009,11,3.667,Nov
2009,12,3.0,Dec
2010,1,4.0,Jan
2010,2,4.333,Feb
2010,3,3.667,Mar
2010,4,7.667,Apr
2010,5,6.0,May
2010,6,4.667,Jun
2010,7,4.333,Jul
2010,8,6.667,Aug
2010,9,4.333,Sep
2010,10,5.0,Oct
2010,11,4.667,Nov
2010,12,4.0,Dec
2011,1,5.0,Jan
2011,2,5.667,Feb
2011,3,5.667,Mar
2011,4,5.333,Apr
2011,5,6.333,May
2011,6,6.333,Jun
2011,7,5.0,Jul
2011,8,7.667,Aug
2011,9,6.333,Sep
2011,10,7.333,Oct
2011,11,4.667,Nov
2011,12,3.667,Dec
2012,1,5.0,Jan
2012,2,5.667,Feb
2012,3,8.0,Mar
2012,4,6.667,Apr
2012,5,4.667,May
2012,6,6.333,Jun
2012,7,7.0,Jul
2012,8,5.0,Aug
2012,9,5.667,Sep
2012,10,6.667,Oct
2012,11,6.333,Nov
2012,12,3.667,Dec
2013,1,4.333,Jan
2013,2,4.333,Feb
2013,3,6.667,Mar
2013,4,5.0,Apr
2013,5,5.667,May
2013,6,7.0,Jun
2013,7,5.333,Jul
2013,8,5.333,Aug
2013,9,4.333,Sep
2013,10,7.667,Oct
2013,11,5.0,Nov
2013,12,6.0,Dec
2014,1,4.333,Jan
2014,2,6.333,Feb
2014,3,4.0,Mar
2014,4,5.0,Apr
2014,5,5.333,May
2014,6,6.333,Jun
2014,7,3.333,Jul
2014,8,5.333,Aug
2014,9,6.333,Sep
2014,10,5.0,Oct
2014,11,4.667,Nov
2014,12,5.333,Dec
2015,1,6.333,Jan
2015,2,5.333,Feb
2015,3,7.667,Mar
2015,4,6.0,Apr
2015,5,5.667,May
2015,6,8.333,Jun
2015,7,5.667,Jul
2015,8,6.333,Aug
2015,9,7.0,Sep
2015,10,7.333,Oct
2015,11,6.0,Nov
2015,12,6.667,Dec
2016,1,6.0,Jan
2016,2,5.667,Feb
2016,3,6.333,Mar
2016,4,5.667,Apr
2016,5,6.333,May
2016,6,6.333,Jun
2016,7,5.0,Jul
2016,8,5.333,Aug
2016,9,6.0,Sep
2016,10,6.333,Oct
2016,11,5.333,Nov
2016,12,6.0,Dec
2017,1,4.667,Jan
2017,2,5.0,Feb
2017,3,6.333,Mar
2017,4,5.667,Apr
2017,5,7.0,May
2017,6,5.0,Jun
2017,7,6.0,Jul
2017,8,5.333,Aug
2017,9,8.333,Sep
2017,10,5.667,Oct
2017,11,6.333,Nov
2017,12,5.0,Dec
2018,1,4.667,Jan
2018,2,5.333,Feb
2018,3,6.0,Mar
2018,4,6.0,Apr
