year,storm_days,severe_days,total_days
1990,81,12,365
1991,113,27,365
1992,80,12,366
1993,86,6,365
1994,89,11,365
1995,65,2,365
1996,34,2,366
1997,30,4,365
1998,47,6,365
1999,53,5,365
2000,67,14,366
2001,50,14,365
2002,50,9,365
2003,120,10,365
2004,41,10,366
2005,55,15,365
2006,28,3,365
2007,19,0,365
2008,11,0,366
2009,3,0,365
2010,11,1,365
2011,26,3,365
2012,35,2,366
2013,23,2,365
2014,12,0,365
2015,56,6,365
2016,43,0,366
2017,37,3,365
2018,13,1,365
2019,12,0,365
2020,3,0,366
2021,17,2,365
2022,36,0,365
2023,41,5,365
2024,36,13,366
2025,62,8,365
2026,30,5,137
