Latitude,Longitude,LocalDate,LimitingMag,SQMReading,CloudCover,Country
-32.5466,116.008,2016-11-30,6,21.28,0,Australia
-27.5623,153.224,2016-12-13,5,20.21,0,Australia
-27.5623,153.224,2016-12-13,3,17.44,0,Australia
-27.5623,153.224,2016-12-13,3,17.47,0,Australia
-27.5623,153.224,2016-12-14,5,19.24,0,Australia
-34.0497,150.826,2016-12-21,1,14.49,0,Australia
-34.0498,150.826,2016-12-21,1,15.25,0,Australia
-34.0498,150.826,2016-12-21,1,15.13,0,Australia
-30.4984,151.672,2016-12-21,6,21.2,0,Australia
-38.0676,145.303,2016-12-25,4,18.72,0,Australia
-38.0671,145.303,2016-12-26,1,14.98,0,Australia
-30.4982,151.672,2016-12-27,6,21.76,0,Australia
-30.4981,151.672,2016-12-28,6,20.76,0,Australia
-30.4983,151.672,2016-12-30,6,20.81,0,Australia
-30.4977,151.672,2016-12-30,6,21.87,0,Australia
-32.2904,115.703,2016-12-25,4,,0,Australia
-30.4979,151.672,2016-12-21,7,22.15,0,Australia
-30.498,151.672,2016-12-03,7,22.72,0,Australia
-30.4978,151.672,2016-11-25,7,22.48,0,Australia
-37.8867,145.023,2016-10-24,4,18.78,0,Australia
-37.8866,145.023,2016-10-24,4,18.73,0,Australia
-33.7689,151.09,2016-11-02,4,18.46,0,Australia
-33.769,151.09,2016-11-02,3,17.51,0,Australia
-33.7689,151.09,2016-11-02,4,18.45,0,Australia
-33.7689,151.09,2016-11-02,4,18.63,0,Australia
-33.769,151.09,2016-11-02,4,18.58,0,Australia
-32.247,151.678,2016-10-29,5,19.45,0,Australia
-32.247,151.678,2016-10-29,6,20.92,0,Australia
-31.9221,115.76,2016-11-04,6,20.54,0,Australia
-31.9221,115.76,2016-11-04,5,19.5,0,Australia
-31.922,115.76,2016-11-04,5,19.59,0,Australia
-31.922,115.76,2016-11-04,4,18.97,0,Australia
-31.922,115.76,2016-11-04,5,20.15,0,Australia
-31.922,115.759,2016-11-04,5,19.65,0,Australia
-31.922,115.76,2016-10-05,5,19.09,0,Australia
-26.7583,152.865,2016-11-04,6,21.93,0,Australia
-26.7593,152.867,2016-11-04,6,21.75,0,Australia
-26.7593,152.867,2016-11-04,6,21.21,0,Australia
-26.7592,152.867,2016-11-04,6,21.52,0,Australia
-30.4978,151.672,2016-10-24,5,19.77,0,Australia
-30.4982,151.672,2016-10-05,6,21.65,0,Australia
-30.4982,151.672,2016-10-04,6,21.65,0,Australia
-30.4981,151.672,2016-10-03,6,21.92,0,Australia
-34.0855,138.786,2016-10-01,6,,0,Australia
-27.5162,153.205,2016-09-25,3,,0,Australia
-33.7954,151.25,2016-05-27,3,,0,Australia
-30.4976,151.672,2016-09-04,6,21.64,0,Australia
-30.4977,151.672,2016-09-03,6,21.64,0,Australia
-30.4973,151.672,2016-08-29,6,20.9,0,Australia
-30.4976,151.672,2016-08-28,6,21.5,0,Australia
-33.751,151.254,2016-08-27,6,,0,Australia
-33.7349,151.246,2016-08-27,6,,0,Australia
-33.7439,151.256,2016-08-27,6,,0,Australia
-30.4983,151.672,2016-08-27,6,21.94,0,Australia
-33.7549,151.296,2016-08-27,5,,0,Australia
