datetime,lat,lon,altitude_km,radiated_energy_J,impact_energy_kt
4/21/2025 9:27,-29.1,151.6,41.0,23000000000.0,0.082
3/21/2025 5:06,-22.8,123.5,54.2,39000000000.0,0.13
9/6/2024 12:36,-12.9,117.7,27.0,21000000000.0,0.076
2/5/2024 0:32,-13.8,123.7,23.0,48500000000.0,0.16
5/20/2023 11:22,-17.8,141.9,29.0,3510000000000.0,7.1
2/3/2022 19:50,-13.3,142.2,36.0,154000000000.0,0.44
5/6/2021 5:54,-34.7,141.0,31.0,55700000000.0,0.18
9/13/2019 2:02,-18.6,126.9,27.4,42700000000.0,0.14
5/21/2019 13:12,-38.8,137.5,31.5,654000000000.0,1.6
5/19/2019 14:47,-23.6,132.8,33.3,41400000000.0,0.14
3/19/2019 2:06,-24.0,140.3,28.7,28600000000.0,0.1
11/19/2017 4:17,-24.2,135.0,33.3,28000000000.0,0.098
6/30/2017 14:26,-34.3,134.5,20.0,99200000000.0,0.3
6/5/2016 6:12,-17.4,138.3,28.7,338000000000.0,0.89
1/2/2015 13:39,-31.1,140.0,38.1,20000000000.0,0.073
3/29/2014 13:45,-28.7,121.5,30.7,39800000000.0,0.13
1/15/2014 2:46,-18.5,141.8,29.6,140000000000.0,0.41
8/12/2013 18:08,-34.4,118.2,66.6,35000000000.0,0.12
7/31/2013 3:50,-31.8,137.1,29.1,70000000000.0,0.22
11/19/2010 7:25,-10.3,148.8,30.0,33000000000.0,0.11
12/3/2005 12:45,-33.8,117.4,32.2,88000000000.0,0.27
11/9/2005 7:33,-31.0,145.9,30.7,73000000000.0,0.23
