date,year,decade,eclipse_type,eclipse_category,lat,lon
16/02/1980,1980,1980,Total,Solar,-0.1,47.1
26/08/1980,1980,1980,Penumbral,Lunar,-12.0,-52.0
27/07/1980,1980,1980,Penumbral,Lunar,-18.0,74.0
01/03/1980,1980,1980,Penumbral,Lunar,8.0,52.0
10/08/1980,1980,1980,Annular,Solar,4.6,-108.9
04/02/1981,1981,1980,Annular,Solar,-44.4,-140.8
31/07/1981,1981,1980,Total,Solar,53.3,134.1
17/07/1981,1981,1980,Partial,Lunar,-21.0,-70.0
20/01/1981,1981,1980,Penumbral,Lunar,19.0,-115.0
21/06/1982,1982,1980,Partial,Solar,-65.9,13.2
15/12/1982,1982,1980,Partial,Solar,65.3,56.9
20/07/1982,1982,1980,Partial,Solar,68.6,64.2
30/12/1982,1982,1980,Total,Lunar,24.0,-172.0
09/01/1982,1982,1980,Total,Lunar,22.0,63.0
06/07/1982,1982,1980,Total,Lunar,-23.0,-112.0
25/01/1982,1982,1980,Partial,Solar,-69.3,-91.7
25/06/1983,1983,1980,Partial,Lunar,-24.0,-125.0
04/12/1983,1983,1980,Annular,Solar,0.9,-4.7
20/12/1983,1983,1980,Penumbral,Lunar,24.0,-28.0
11/06/1983,1983,1980,Total,Solar,-6.2,114.2
22/11/1984,1984,1980,Total,Solar,-37.8,-173.6
15/05/1984,1984,1980,Penumbral,Lunar,-18.0,-71.0
30/05/1984,1984,1980,Annular,Solar,37.5,-76.7
13/06/1984,1984,1980,Penumbral,Lunar,-25.0,143.0
08/11/1984,1984,1980,Penumbral,Lunar,16.0,88.0
04/05/1985,1985,1980,Total,Lunar,-16.0,60.0
28/10/1985,1985,1980,Total,Lunar,13.0,91.0
12/11/1985,1985,1980,Total,Solar,-68.6,-142.6
19/05/1985,1985,1980,Partial,Solar,63.2,81.1
09/04/1986,1986,1980,Partial,Solar,-61.2,161.4
03/10/1986,1986,1980,Hybrid,Solar,59.9,-37.1
24/04/1986,1986,1980,Total,Lunar,-13.0,169.0
17/10/1986,1986,1980,Total,Lunar,10.0,67.0
07/10/1987,1987,1980,Penumbral,Lunar,6.0,-64.0
14/04/1987,1987,1980,Penumbral,Lunar,-10.0,-35.0
29/03/1987,1987,1980,Hybrid,Solar,-12.3,-2.3
23/09/1987,1987,1980,Annular,Solar,14.3,138.4
18/03/1988,1988,1980,Total,Solar,20.7,140.0
11/09/1988,1988,1980,Annular,Solar,-20.0,94.4
27/08/1988,1988,1980,Partial,Lunar,-11.0,-165.0
03/03/1988,1988,1980,Penumbral,Lunar,7.0,120.0
20/02/1989,1989,1980,Total,Lunar,11.0,130.0
17/08/1989,1989,1980,Total,Lunar,-14.0,-46.0
07/03/1989,1989,1980,Partial,Solar,61.2,-169.8
31/08/1989,1989,1980,Partial,Solar,-61.3,23.6
26/01/1990,1990,1990,Annular,Solar,-71.0,-22.2
22/07/1990,1990,1990,Total,Solar,65.2,168.9
06/08/1990,1990,1990,Partial,Lunar,-16.0,148.0
09/02/1990,1990,1990,Total,Lunar,14.0,76.0
30/01/1991,1991,1990,Penumbral,Lunar,17.0,-87.0
26/07/1991,1991,1990,Penumbral,Lunar,-18.0,89.0
15/01/1991,1991,1990,Annular,Solar,-36.4,-170.4
11/07/1991,1991,1990,Total,Solar,22.0,-105.2
21/12/1991,1991,1990,Partial,Lunar,24.0,-159.0
27/06/1991,1991,1990,Penumbral,Lunar,-25.0,-48.0
30/06/1992,1992,1990,Total,Solar,-25.2,-9.5
09/12/1992,1992,1990,Total,Lunar,23.0,2.0
15/06/1992,1992,1990,Partial,Lunar,-24.0,-74.0
24/12/1992,1992,1990,Partial,Solar,65.7,155.7
04/01/1992,1992,1990,Annular,Solar,1.0,-169.7
13/11/1993,1993,1990,Partial,Solar,-69.6,58.3
29/11/1993,1993,1990,Total,Lunar,21.0,-99.0
04/06/1993,1993,1990,Total,Lunar,-22.0,164.0
21/05/1993,1993,1990,Partial,Solar,68.8,162.3
25/05/1994,1994,1990,Partial,Lunar,-20.0,-53.0
10/05/1994,1994,1990,Annular,Solar,41.5,-84.1
03/11/1994,1994,1990,Total,Solar,-35.4,-34.2
18/11/1994,1994,1990,Penumbral,Lunar,18.0,-105.0
24/10/1995,1995,1990,Total,Solar,8.4,113.2
15/04/1995,1995,1990,Partial,Lunar,-11.0,175.0
08/10/1995,1995,1990,Penumbral,Lunar,7.0,116.0
29/04/1995,1995,1990,Annular,Solar,-4.8,-79.4
04/04/1996,1996,1990,Total,Lunar,-6.0,-2.0
17/04/1996,1996,1990,Partial,Solar,-71.3,-104.0
12/10/1996,1996,1990,Partial,Solar,71.7,32.1
27/09/1996,1996,1990,Total,Lunar,2.0,-46.0
02/09/1997,1997,1990,Partial,Solar,-71.8,114.3
16/09/1997,1997,1990,Total,Lunar,-3.0,77.0
24/03/1997,1997,1990,Partial,Lunar,-1.0,-68.0
09/03/1997,1997,1990,Total,Solar,57.8,130.7
13/03/1998,1998,1990,Penumbral,Lunar,4.0,-62.0
26/02/1998,1998,1990,Total,Solar,4.7,-82.7
08/08/1998,1998,1990,Penumbral,Lunar,-15.0,-35.0
06/09/1998,1998,1990,Penumbral,Lunar,-7.0,-168.0
22/08/1998,1998,1990,Annular,Solar,-3.0,145.4
28/07/1999,1999,1990,Partial,Lunar,-18.0,-172.0
11/08/1999,1999,1990,Total,Solar,45.1,24.3
16/02/1999,1999,1990,Annular,Solar,-39.8,93.9
31/01/1999,1999,1990,Penumbral,Lunar,16.0,119.0
16/07/2000,2000,2000,Total,Lunar,-21.0,153.0
25/12/2000,2000,2000,Partial,Solar,66.3,-74.1
21/01/2000,2000,2000,Total,Lunar,20.0,-68.0
01/07/2000,2000,2000,Partial,Solar,-66.9,-109.5
05/02/2000,2000,2000,Partial,Solar,-70.2,134.1
31/07/2000,2000,2000,Partial,Solar,69.5,-59.9
09/01/2001,2001,2000,Total,Lunar,22.0,57.0
30/12/2001,2001,2000,Penumbral,Lunar,24.0,-157.0
14/12/2001,2001,2000,Annular,Solar,0.6,-130.7
21/06/2001,2001,2000,Total,Solar,-11.3,2.7
05/07/2001,2001,2000,Partial,Lunar,-23.0,137.0
24/06/2002,2002,2000,Penumbral,Lunar,-25.0,39.0
26/05/2002,2002,2000,Penumbral,Lunar,-20.0,179.0
04/12/2002,2002,2000,Total,Solar,-39.5,59.6
10/06/2002,2002,2000,Annular,Solar,34.5,-178.6
20/11/2002,2002,2000,Penumbral,Lunar,19.0,-30.0
23/11/2003,2003,2000,Total,Solar,-72.7,88.4
09/11/2003,2003,2000,Total,Lunar,16.0,-24.0
31/05/2003,2003,2000,Annular,Solar,66.6,-24.5
16/05/2003,2003,2000,Total,Lunar,-19.0,-56.0
28/10/2004,2004,2000,Total,Lunar,13.0,-50.0
14/10/2004,2004,2000,Partial,Solar,61.2,-153.7
04/05/2004,2004,2000,Total,Lunar,-17.0,51.0
19/04/2004,2004,2000,Partial,Solar,-61.6,44.3
03/10/2005,2005,2000,Annular,Solar,12.9,28.7
24/04/2005,2005,2000,Penumbral,Lunar,-14.0,-150.0
08/04/2005,2005,2000,Hybrid,Solar,-10.6,-119.0
17/10/2005,2005,2000,Partial,Lunar,10.0,175.0
14/03/2006,2006,2000,Penumbral,Lunar,3.0,6.0
22/09/2006,2006,2000,Annular,Solar,-20.6,-9.1
07/09/2006,2006,2000,Partial,Lunar,-7.0,77.0
29/03/2006,2006,2000,Total,Solar,23.2,16.7
11/09/2007,2007,2000,Partial,Solar,-61.0,-90.2
