name,lat,lon,class_group,recclass,mass_g,fall,year
Binningup,-33.15639,115.67639,Stony,H5,488.1,Fell,1984
Bunburra Rockhole,-31.35,129.19,Stony,Eucrite,324.0,Fell,2007
Dunbogan,-31.66667,152.83333,Stony,L6,30.0,Fell,1999
Emmaville,-29.46667,151.61667,Stony,Eucrite-mmict,127.0,Fell,1900
Forest Vale,-33.35,146.85833,Stony,H4,26000.0,Fell,1942
Karoonda,-35.08333,139.91667,Stony,CK4,41730.0,Fell,1930
Millbillillie,-26.45,120.36667,Stony,Eucrite-mmict,330000.0,Fell,1960
Moorleah,-40.975,145.6,Stony,L6,8887.5,Fell,1930
Mount Browne,-29.8,141.7,Stony,H6,11300.0,Fell,1902
Murchison,-36.61667,145.2,Stony,CM2,100000.0,Fell,1969
Narellan,-34.05,150.68889,Stony,L6,367.5,Fell,1928
Rockhampton,-23.38333,150.51667,Stony,Stone-uncl,1641.0,Fell,1895
Tenham,-25.73333,142.95,Stony,L6,160000.0,Fell,1879
Wiluna,-26.59278,120.32833,Stony,H5,150000.0,Fell,1967
Woolgorong,-27.75,115.83333,Stony,L6,36000.0,Fell,1960
Alikatnima,-23.33333,134.11667,Iron,"Iron, ungrouped",20000.0,Found,1931
Answer,-21.65972,140.90694,Iron,Iron,11090.0,Found,1970
Arltunga,-23.33333,134.66667,Iron,"Iron, IID-an",18100.0,Found,1908
Arrabury,-26.5,141.08333,Stony,H6,5300.0,Found,1960
Artracoona,-29.06667,139.91667,Stony,L6,20810.0,Found,1914
Avoca (Western Australia),-30.85,122.31667,Iron,"Iron, IIIAB",37850.0,Found,1966
Baandee,-31.61667,118.03333,Stony,H6,256.3,Found,1967
Balfour Downs,-22.75,120.83333,Iron,"Iron, IAB-sLL",2400.0,Found,1962
Ballarat,-37.57083,143.82533,Iron,"Iron, IAB complex",15.0,Found,1867
Ballinoo,-27.7,115.76667,Iron,"Iron, IIC",42200.0,Found,1892
Barratta,-35.3,144.56667,Stony,L4,200000.0,Found,1845
Bealiba,-36.8,143.55,Stony,L6,652.0,Found,1950
Bencubbin,-30.75,117.78333,Stony,CBa,118000.0,Found,1930
Bendock,-37.15,148.91667,Stony-iron,Pallasite,27000.0,Found,1898
Biduna Blowhole 001,-31.01667,131.31667,Stony,L4,103.4,Found,2009
